date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,psTTM,pcfNcfTTM,pbMRQ,MACD,MACD_Signal,MACD_Histogram,EMA12,EMA26,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PB
2025-05-20,sz.002173,10.1000,10.7000,9.9800,10.7,10.2000,50045200,511096364.0000,3,12.021300,1,4.902000,0,-45.006017,5.843677,-12.227376,2.679367,-0.5635684929106812,-0.5393267272649032,-0.02424176564577807,10.80735166141808,11.370920154328761,11.122499999999999,12.480747710141731,9.764252289858266,2.716495420283465,0.34446872361893704
2025-05-19,sz.002173,10.1500,10.2800,10.0000,10.2,9.9900,36683200,371494730.0000,3,8.811600,1,2.102100,0,-42.902932,5.570608,-11.656003,2.554163,-0.5702723838053494,-0.5455158585729925,-0.02475652523235694,10.713912944276837,11.284185328082186,11.000499999999999,12.215623558802925,9.785376441197073,2.4302471176058518,0.17060962887238854
2025-05-16,sz.002173,10.0800,10.1000,9.9000,9.99,10.0800,26340700,263144149.0000,3,6.327300,1,-0.892900,0,-42.019636,5.455919,-11.416026,2.501577,-0.5857780261438457,-0.5535682920871631,-0.03220973405668259,10.602541722080401,11.188319748224247,10.9255,12.197257590274596,9.653742409725403,2.5435151805491927,0.13220191994371847
2025-05-15,sz.002173,10.1000,10.2900,9.8900,10.08,10.1800,38854751,392388293.6100,3,9.333300,1,-0.982300,0,-42.398191,5.505072,-11.518873,2.524114,-0.5840713011823411,-0.5596688939061987,-0.0244024072761424,10.522150687914184,11.106221989096525,10.881,12.20731503759377,9.554684962406231,2.6526300751875382,0.19803554310400018
2025-05-14,sz.002173,10.1800,10.5500,10.1200,10.18,10.2700,56013700,576858883.0000,3,13.455000,1,-0.876300,0,-42.818808,5.559686,-11.633148,2.549155,-0.568100832324383,-0.5613552815898355,-0.006745550734547523,10.46951212054277,11.037612952867153,10.815,12.142990171174784,9.487009828825215,2.6559803423495687,0.2609169051913021
2025-05-13,sz.002173,10.1300,10.7800,9.9300,10.27,9.9400,65555001,674606889.6600,3,15.746900,1,3.319900,0,-43.197364,5.608838,-11.735995,2.571691,-0.5419347859846777,-0.557471182468804,0.015536396484126302,10.438817948151575,10.980752734136253,10.772,12.112676969609792,9.431323030390208,2.6813539392195835,0.312781150351934
2025-05-12,sz.002173,10.0000,10.1500,9.7600,9.94,9.6900,44547301,442403536.9500,3,10.700700,1,2.580000,0,-41.809328,5.428613,-11.358889,2.489057,-0.5415832136560237,-0.554293588706248,0.01271037505022432,10.362076725359026,10.90365993901505,10.699499999999999,12.056190633005254,9.342809366994743,2.7133812660105114,0.22009093984912295
2025-05-09,sz.002173,10.0800,10.1800,9.6800,9.69,10.0200,44424151,436130443.2800,3,10.671100,1,-3.293400,0,-40.757785,5.292078,-11.073203,2.426455,-0.5550788967186904,-0.5544506503087365,-0.0006282464099538476,10.258680306073023,10.813759202791713,10.6055,11.968738790527906,9.242261209472092,2.726477581055814,0.1642187684354708
2025-05-08,sz.002173,10.0200,10.5900,10.0000,10.02,10.1100,78228989,801752408.9000,3,18.791300,1,-0.890200,0,-42.145821,5.472304,-11.450309,2.509089,-0.5330019658222778,-0.5501609134114448,0.01715894758916703,10.221960258984865,10.754962224807143,10.526,11.826597433570633,9.225402566429366,2.601194867141267,0.3054740125809574
2025-05-07,sz.002173,9.8800,10.5900,9.8800,10.11,9.6300,103414740,1066722380.3600,3,24.841100,1,4.984400,0,-42.524377,5.521456,-11.553156,2.531626,-0.502451641435373,-0.5406190590162305,0.03816741758085751,10.204735603756426,10.707187245191799,10.462,11.70842815994133,9.21557184005867,2.4928563198826588,0.35879651498864995
2025-05-06,sz.002173,9.4000,9.7500,9.3300,9.63,9.1600,46301477,442159295.4400,3,11.122000,1,5.131000,0,-40.505415,5.259310,-11.004638,2.411430,-0.5110808557597615,-0.5347114183649367,0.023630562605175265,10.116314741640052,10.627395597399813,10.3625,11.535240829267734,9.189759170732268,2.3454816585354656,0.18769740861781975
2025-04-30,sz.002173,8.9600,9.3600,8.9600,9.16,8.9600,31093869,284607068.3000,3,7.469000,1,2.232100,0,-38.528515,5.002625,-10.467548,2.293738,-0.5495102304496999,-0.5376711807818895,-0.011839049667810464,9.96918939677235,10.51869962722205,10.2145,11.182612107470808,9.24638789252919,1.9362242149416176,-0.04461667810088572
2025-04-29,sz.002173,8.7600,9.0600,8.6300,8.96,8.7200,23276001,206820567.8000,3,5.591100,1,2.752300,0,-37.687281,4.893397,-10.238999,2.243657,-0.5893109059993691,-0.5479991258253855,-0.041311780173983625,9.813929489576603,10.403240395575972,10.0815,10.963657045333523,9.199342954666477,1.764314090667046,-0.13565779241494708
2025-04-28,sz.002173,8.7800,8.8900,8.5500,8.72,8.9100,21491100,186699564.0000,3,5.162400,1,-2.132400,0,-36.677801,4.762324,-9.964740,2.183559,-0.6329232768032469,-0.5649839560209577,-0.06793932078228915,9.645632645026357,10.278555921829604,9.9895,11.030945857298498,8.948054142701501,2.0828917145969967,-0.10948919768766044
2025-04-25,sz.002173,8.9600,9.2000,8.9000,8.91,8.7900,21571200,194681884.0000,3,5.181600,1,1.365200,0,-41.848589,4.818325,-29.896268,2.213629,-0.6447230171561067,-0.5809317682479875,-0.06379124890811916,9.532458391945378,10.177181409101484,9.916500000000001,11.046554027585916,8.786445972414086,2.2601080551718304,0.05466730995590424
2025-04-24,sz.002173,9.1000,9.1500,8.7800,8.79,9.0800,24056550,214848367.0000,3,5.778600,1,-3.193800,0,-41.284971,4.753431,-29.493624,2.183816,-0.6561932066957414,-0.5959840559375383,-0.0602091507582031,9.418234023953781,10.074427230649523,9.8425,11.065126594457062,8.619873405542936,2.4452531889141262,0.06957422455406825
2025-04-23,sz.002173,9.1000,9.1600,9.0000,9.08,9.0200,20258200,183912366.0000,3,4.866200,1,0.665200,0,-42.647047,4.910257,-30.466679,2.255864,-0.6345679340365287,-0.6037008315573364,-0.03086710247919222,9.366198020268584,10.000765954305113,9.7755,11.01166512267832,8.539334877321679,2.472330245356641,0.21868644922892527
2025-04-22,sz.002173,9.1500,9.2000,8.9900,9.02,9.2500,25217000,228961844.0000,3,6.057300,1,-2.486500,0,-42.365238,4.877810,-30.265357,2.240958,-0.6151798379754752,-0.6059966328409642,-0.009183205134510986,9.31293678638111,9.928116624356585,9.7165,10.979700196660092,8.453299803339908,2.526400393320184,0.22431131587789885
2025-04-21,sz.002173,9.1600,9.3400,8.9500,9.25,9.2100,33554801,307052116.0800,3,8.060200,1,0.434300,0,-43.445505,5.002189,-31.037091,2.298100,-0.5746315594321949,-0.5997236181592103,0.025092058727015365,9.30325420386094,9.877885763293135,9.6625,10.90747939107863,8.41752060892137,2.4899587821572595,0.33433460708027607
2025-04-18,sz.002173,8.9600,9.4700,8.7600,9.21,8.9000,45567607,416402966.2000,3,10.945700,1,3.483100,0,-43.257632,4.980558,-30.902876,2.288162,-0.5395053405229913,-0.5876799626319664,0.04817462210897516,9.288907403266949,9.82841274378994,9.5955,10.782242112720894,8.408757887279105,2.373484225441789,0.3375805510448491
2025-04-17,sz.002173,8.8700,9.1900,8.8300,8.9,9.1100,31006855,278806135.1500,3,7.448100,1,-2.305200,0,-41.801621,4.812917,-29.862714,2.211145,-0.5305659343630964,-0.5762571569781925,0.04569122261509606,9.229075495072033,9.75964142943513,9.505500000000001,10.609702021943063,8.40129797805694,2.208404043886123,0.22582009996028435
2025-04-16,sz.002173,8.8300,9.5100,8.7100,9.11,8.8500,48656408,443547538.4400,3,11.687700,1,2.937900,0,-42.787951,4.926480,-30.567340,2.263318,-0.5007636539316884,-0.5611584563688916,0.06039480243720319,9.210756188137875,9.711519842069563,9.451,10.517837924848346,8.384162075151655,2.13367584969669,0.34018190952085087
2025-04-15,sz.002173,8.9300,8.9300,8.7400,8.85,8.9100,16051402,141683299.5900,3,3.855700,1,-0.673400,0,-41.566780,4.785878,-29.694946,2.198722,-0.49244832135515537,-0.5474164293661444,0.05496810801098906,9.155255236116663,9.647703557471818,9.394,10.461400186384996,8.326599813615005,2.134800372769991,0.2451752365519132
2025-04-14,sz.002173,8.9000,9.0500,8.8000,8.91,8.7700,28108201,251077322.8600,3,6.751800,1,1.596400,0,-41.848589,4.818325,-29.896268,2.213629,-0.4755351881814587,-0.5330401811292074,0.05750499294774869,9.117523661329484,9.593058849510943,9.3355,10.372407852577473,8.298592147422527,2.0738157051549457,0.2948226551943254
2025-04-11,sz.002173,8.5800,9.0100,8.5000,8.77,8.7400,32211999,283150180.2500,3,7.749100,1,0.343200,0,-80.765776,4.784811,-8.527396,2.100661,-0.46803304466153683,-0.5200387538356732,0.05200570917413638,9.064058482663409,9.532091527324946,9.265,10.250612286321223,8.279387713678778,1.9712245726424449,0.24888705890245225
2025-04-10,sz.002173,8.6000,8.8700,8.5300,8.74,8.4800,39384200,344095456.0000,3,9.474500,1,3.066000,0,-80.489496,4.768444,-8.498226,2.093475,-0.4592147493720091,-0.5078739529429404,0.04865920357093123,9.014203331484422,9.473418080856431,9.188500000000001,10.078544942685468,8.298455057314534,1.7800898853709342,0.24804643086517913
2025-04-09,sz.002173,8.1600,8.6200,7.5500,8.48,8.3900,47277499,381270138.6300,3,11.373400,1,1.072700,0,-78.095072,4.626591,-8.245418,2.031197,-0.4678133527848054,-0.4998618329113134,0.03204848012650802,8.932018203563741,9.399831556348547,9.1155,9.985284607335558,8.245715392664444,1.7395692146711141,0.13467966974792142
2025-04-08,sz.002173,8.3000,8.6600,8.2100,8.39,8.4900,40831000,342871276.0000,3,9.822500,1,-1.177900,0,-77.266233,4.577488,-8.157908,2.009640,-0.47639843121038794,-0.49516915257112837,0.018770721360740428,8.848630787630858,9.325029218841246,9.050500000000001,9.933711246114502,8.1672887538855,1.766422492229001,0.12608039531554335
2025-04-07,sz.002173,8.8200,9.0200,8.4900,8.49,9.4300,24633255,211604827.5000,3,5.925900,1,-9.968200,0,-78.187165,4.632046,-8.255141,2.033593,-0.4697183823277502,-0.49007899852245274,0.02036061619470253,8.793456820303033,9.263175202630784,8.974,9.763734132477484,8.184265867522516,1.5794682649549685,0.19356775901173356
2025-04-03,sz.002173,9.4200,9.7800,9.3000,9.43,9.5800,35428100,336017718.0000,3,8.522800,1,-1.565800,0,-86.843930,5.144900,-9.169138,2.258749,-0.3841460547720903,-0.4688924097723803,0.08474635500028999,8.891386540256413,9.275532595028503,8.940000000000001,9.56522417032442,8.314775829675582,1.2504483406488376,0.8918594507836648
2025-04-02,sz.002173,9.6600,9.9500,9.5700,9.58,10.0400,64578800,628234475.0000,3,15.535500,1,-4.581700,0,-88.225329,5.226738,-9.314989,2.294678,-0.30075866361284653,-0.43526566054047355,0.13450699692762702,8.997327072524657,9.298085736137503,8.937500000000002,9.551404672867363,8.32359532713264,1.2278093457347232,1.0232897128792624
2025-04-01,sz.002173,9.5800,10.3300,9.4300,10.04,9.3900,93322301,938141982.7500,3,22.450200,1,6.922300,0,-92.461618,5.477709,-9.762264,2.404861,-0.19530405613921786,-0.3872733396602225,0.19196928352100462,9.157738292136248,9.353042348275466,8.9815,9.765209801285874,8.197790198714127,1.5674196025717464,1.175313743852165
2025-03-31,sz.002173,9.0400,9.5800,8.8400,9.39,9.1400,51999300,479484012.0000,3,12.509300,1,2.735200,0,-86.475557,5.123076,-9.130245,2.249168,-0.16230908953008694,-0.3422804896341954,0.17997140010410845,9.193470862576826,9.355779952106912,9.003,9.807542367468983,8.198457632531017,1.6090847349379658,0.7405093974214604
2025-03-28,sz.002173,9.3800,9.3900,9.1400,9.14,9.4100,29483101,272419097.2900,3,7.092600,1,-2.869300,0,-84.173226,4.986679,-8.887160,2.189286,-0.1545516759242993,-0.3047347268922162,0.1501830509679169,9.185244576026545,9.339796251950844,9.024000000000001,9.819312583367775,8.228687416632226,1.590625166735549,0.5729273008034113
2025-03-27,sz.002173,9.5500,9.6000,9.3200,9.41,9.5700,32895548,310806750.9300,3,7.913500,1,-1.671900,0,-86.659744,5.133988,-9.149691,2.253959,-0.1251741960231918,-0.26882262071841134,0.14364842469521955,9.219822333560922,9.344996529584114,9.049,9.86049374936787,8.237506250632128,1.6229874987357427,0.7224293164803848
2025-03-26,sz.002173,9.5500,9.7200,9.4500,9.57,9.5900,43783800,420115314.1000,3,10.532900,1,-0.208600,0,-88.133236,5.221282,-9.305265,2.292283,-0.08796763261322837,-0.23265162309737475,0.14468399048414637,9.273695820705395,9.361663453318624,9.088,9.921751193481333,8.254248806518666,1.667502386962667,0.7890550584925744
2025-03-25,sz.002173,9.5900,10.0800,9.5900,9.59,10.6500,99252141,963225471.7300,3,23.876700,1,-9.953100,0,-88.317422,5.232194,-9.324712,2.297074,-0.05621926945598332,-0.1973651523690965,0.14114588291311317,9.322358002135335,9.378577271591318,9.1135,9.97689050139245,8.25010949860755,1.7267810027849002,0.7759469783553994
2025-03-24,sz.002173,10.6500,10.9500,10.6500,10.65,11.8300,18089100,192886001.0000,3,4.351600,1,-9.974600,0,-98.079306,5.810518,-10.355389,2.550973,0.05385388423651172,-0.14712134504797486,0.20097522928448658,9.526610617191437,9.472756732954926,9.195,10.296205081526109,8.093794918473892,2.2024101630522175,1.1606398864340435
